bill_id,order_id,customer_id,product_id,quantity,total_amount,payment_method,store_id
B00001,O00001,C15600,P18,2,690,UPI,S06
B00002,O00002,C13417,P35,1,260,Cash,S06
B00003,O00003,C16527,P22,3,1020,UPI,S05
B00004,O00004,C3661,P23,1,360,Cash,S03
B00005,O00005,C7273,P22,1,340,Cash,S05
B00006,O00006,C19574,P32,1,350,UPI,S05
B00007,O00007,C13493,P09,2,670,Cash,S08
B00008,O00008,C5611,P41,2,440,UPI,S01
B00009,O00009,C11528,P30,1,339,UPI,S01
B00010,O00010,C14720,P19,3,885,Cash,S04
B00011,O00011,C18766,P28,3,897,UPI,S04
B00012,O00012,C16011,P13,2,560,UPI,S01
B00013,O00013,C7147,P25,1,315,Cash,S08
B00014,O00014,C18178,P40,1,210,Card,S06
B00015,O00015,C15340,P21,1,335,UPI,S03
B00016,O00016,C6144,P33,3,1110,Cash,S03
B00017,O00017,C869,P39,1,300,UPI,S08
B00018,O00018,C12757,P42,1,280,Cash,S01
B00019,O00019,C10863,P23,3,1080,Cash,S06
B00020,O00020,C1115,P05,2,560,Card,S05
B00021,O00021,C5710,P33,1,370,Card,S07
B00022,O00022,C14715,P06,1,300,UPI,S08
B00023,O00023,C9618,P26,2,670,UPI,S08
B00024,O00024,C14663,P23,3,1080,Card,S02
B00025,O00025,C1429,P40,2,420,Card,S02
B00026,O00026,C11730,P17,1,325,UPI,S06
B00027,O00027,C12155,P35,2,520,Card,S01
B00028,O00028,C13623,P34,1,240,Card,S07
B00029,O00029,C11450,P10,3,645,Cash,S07
B00030,O00030,C17194,P13,3,840,Card,S04
B00031,O00031,C16197,P31,1,330,Card,S06
B00032,O00032,C8583,P41,1,220,Cash,S02
B00033,O00033,C13848,P35,2,520,Cash,S07
B00034,O00034,C10738,P22,3,1020,UPI,S05
B00035,O00035,C8145,P26,1,335,UPI,S05
B00036,O00036,C6311,P28,1,299,Card,S05
B00037,O00037,C13446,P18,3,1035,UPI,S02
B00038,O00038,C14903,P14,3,900,Card,S08
B00039,O00039,C8257,P22,1,340,Card,S03
B00040,O00040,C17190,P04,1,260,UPI,S07
B00041,O00041,C16561,P24,1,380,Cash,S08
B00042,O00042,C26,P28,1,299,Card,S06
B00043,O00043,C10054,P11,1,235,UPI,S08
B00044,O00044,C15676,P18,2,690,UPI,S04
B00045,O00045,C15620,P28,1,299,Cash,S02
B00046,O00046,C19100,P28,3,897,Cash,S05
B00047,O00047,C2899,P09,2,670,Cash,S07
B00048,O00048,C11385,P01,1,235,Cash,S02
B00049,O00049,C13899,P26,2,670,UPI,S05
B00050,O00050,C7381,P41,3,660,UPI,S08
B00051,O00051,C817,P01,3,705,Cash,S05
B00052,O00052,C7763,P40,1,210,Cash,S03
B00053,O00053,C6780,P30,2,678,Cash,S06
B00054,O00054,C1829,P30,1,339,UPI,S06
B00055,O00055,C4144,P32,2,700,Card,S02
B00056,O00056,C333,P14,3,900,UPI,S04
B00057,O00057,C13042,P20,2,630,Card,S08
B00058,O00058,C17126,P26,2,670,Card,S06
B00059,O00059,C7162,P35,2,520,UPI,S04
B00060,O00060,C5304,P02,1,255,Card,S02
B00061,O00061,C6115,P10,3,645,Card,S04
B00062,O00062,C9634,P15,3,960,Card,S05
B00063,O00063,C14905,P28,1,299,UPI,S01
B00064,O00064,C2441,P25,2,630,UPI,S07
B00065,O00065,C17137,P01,1,235,Card,S01
B00066,O00066,C12666,P28,3,897,Card,S05
B00067,O00067,C16851,P20,1,315,Cash,S08
B00068,O00068,C8669,P34,3,720,Card,S06
B00069,O00069,C4738,P35,2,520,Card,S07
B00070,O00070,C11476,P26,1,335,Cash,S08
B00071,O00071,C16635,P07,2,590,UPI,S02
B00072,O00072,C9064,P35,2,520,UPI,S01
B00073,O00073,C6858,P41,1,220,Card,S03
B00074,O00074,C4815,P14,2,600,Card,S04
B00075,O00075,C16506,P14,1,300,Card,S08
B00076,O00076,C2455,P23,2,720,Card,S03
B00077,O00077,C17275,P29,3,957,UPI,S08
B00078,O00078,C10258,P41,2,440,UPI,S01
B00079,O00079,C11525,P07,3,885,Card,S02
B00080,O00080,C3106,P40,3,630,Card,S05
B00081,O00081,C2297,P11,3,705,Cash,S05
B00082,O00082,C10635,P24,3,1140,UPI,S08
B00083,O00083,C15008,P06,1,300,Card,S05
B00084,O00084,C18964,P19,3,885,Card,S01
B00085,O00085,C6334,P27,3,1065,UPI,S08
B00086,O00086,C6600,P18,3,1035,UPI,S07
B00087,O00087,C6051,P31,3,990,UPI,S02
B00088,O00088,C4262,P38,1,280,Card,S05
B00089,O00089,C11474,P31,1,330,UPI,S02
B00090,O00090,C18900,P25,1,315,UPI,S03
B00091,O00091,C8490,P29,2,638,Card,S08
B00092,O00092,C15798,P12,3,765,Card,S08
B00093,O00093,C15568,P31,3,990,UPI,S06
B00094,O00094,C13005,P05,3,840,Cash,S06
B00095,O00095,C16901,P05,1,280,Card,S03
B00096,O00096,C5927,P31,3,990,Card,S06
B00097,O00097,C9900,P03,2,550,Card,S02
B00098,O00098,C212,P17,3,975,Cash,S01
B00099,O00099,C398,P24,1,380,UPI,S06
B00100,O00100,C14330,P43,2,500,Cash,S06
B00101,O00101,C1234,P43,2,500,UPI,S06
B00102,O00102,C1940,P20,3,945,Cash,S03
B00103,O00103,C11934,P20,1,315,Card,S08
B00104,O00104,C12277,P10,1,215,Cash,S05
B00105,O00105,C985,P09,1,335,Cash,S06
B00106,O00106,C10005,P43,3,750,Cash,S07
B00107,O00107,C6288,P27,1,355,UPI,S02
B00108,O00108,C8837,P20,3,945,Cash,S06
B00109,O00109,C3212,P13,2,560,Card,S08
B00110,O00110,C5625,P15,1,320,UPI,S02
B00111,O00111,C6181,P32,1,350,Card,S05
B00112,O00112,C8789,P40,1,210,UPI,S03
B00113,O00113,C17412,P06,3,900,Cash,S05
B00114,O00114,C11667,P37,1,260,UPI,S03
B00115,O00115,C14590,P34,3,720,UPI,S03
B00116,O00116,C19871,P36,2,560,Cash,S03
B00117,O00117,C11697,P30,1,339,Card,S05
B00118,O00118,C10178,P24,2,760,UPI,S05
B00119,O00119,C15827,P37,2,520,UPI,S04
B00120,O00120,C6810,P07,3,885,Card,S01
B00121,O00121,C6392,P02,3,765,UPI,S05
B00122,O00122,C12067,P15,1,320,UPI,S01
B00123,O00123,C16266,P30,3,1017,Card,S01
B00124,O00124,C8140,P10,2,430,Card,S05
B00125,O00125,C6164,P33,1,370,Card,S06
B00126,O00126,C283,P15,2,640,Card,S02
B00127,O00127,C1345,P09,3,1005,UPI,S01
B00128,O00128,C9207,P19,2,590,Card,S06
B00129,O00129,C14540,P34,2,480,Cash,S03
B00130,O00130,C12304,P09,3,1005,UPI,S05
B00131,O00131,C18161,P19,3,885,Card,S02
B00132,O00132,C8925,P15,1,320,Card,S08
B00133,O00133,C6277,P17,2,650,Cash,S06
B00134,O00134,C18346,P19,3,885,Card,S06
B00135,O00135,C16649,P08,1,315,Card,S04
B00136,O00136,C5729,P37,1,260,Cash,S04
B00137,O00137,C10064,P25,1,315,Cash,S07
B00138,O00138,C4631,P36,1,280,Cash,S06
B00139,O00139,C11480,P04,2,520,UPI,S04
B00140,O00140,C19211,P31,2,660,Card,S04
B00141,O00141,C12093,P04,3,780,Card,S08
B00142,O00142,C19412,P04,1,260,UPI,S08
B00143,O00143,C7563,P22,1,340,Cash,S07
B00144,O00144,C4109,P09,2,670,UPI,S08
B00145,O00145,C7132,P34,2,480,Cash,S08
B00146,O00146,C4331,P31,3,990,Card,S01
B00147,O00147,C17342,P23,2,720,Cash,S01
B00148,O00148,C3171,P27,3,1065,Card,S04
B00149,O00149,C8409,P20,3,945,UPI,S08
B00150,O00150,C15320,P03,3,825,UPI,S02
B00151,O00151,C11735,P14,2,600,UPI,S06
B00152,O00152,C17766,P17,2,650,Card,S06
B00153,O00153,C13963,P13,3,840,Card,S04
B00154,O00154,C949,P26,3,1005,Card,S03
B00155,O00155,C18717,P41,2,440,UPI,S05
B00156,O00156,C19736,P43,1,250,UPI,S01
B00157,O00157,C11030,P07,2,590,UPI,S05
B00158,O00158,C19703,P11,1,235,UPI,S05
B00159,O00159,C4787,P36,1,280,UPI,S05
B00160,O00160,C16187,P04,2,520,Card,S01
B00161,O00161,C4668,P34,2,480,UPI,S07
B00162,O00162,C12917,P25,3,945,UPI,S05
B00163,O00163,C548,P20,1,315,UPI,S01
B00164,O00164,C801,P28,3,897,Cash,S03
B00165,O00165,C19011,P25,2,630,Card,S02
B00166,O00166,C14429,P26,1,335,Card,S03
B00167,O00167,C6154,P15,1,320,Card,S02
B00168,O00168,C17542,P22,1,340,UPI,S06
B00169,O00169,C11968,P27,1,355,Cash,S05
B00170,O00170,C19310,P39,3,900,Card,S07
B00171,O00171,C12669,P10,3,645,Card,S06
B00172,O00172,C17783,P22,2,680,Card,S07
B00173,O00173,C440,P19,1,295,UPI,S08
B00174,O00174,C10331,P14,3,900,UPI,S05
B00175,O00175,C10636,P01,2,470,UPI,S02
B00176,O00176,C199,P41,1,220,UPI,S01
B00177,O00177,C11042,P23,1,360,Cash,S08
B00178,O00178,C13806,P31,2,660,UPI,S04
B00179,O00179,C13370,P29,2,638,Card,S06
B00180,O00180,C12284,P22,2,680,Cash,S01
B00181,O00181,C16535,P34,3,720,Cash,S07
B00182,O00182,C8515,P16,1,305,UPI,S05
B00183,O00183,C16915,P16,1,305,Cash,S02
B00184,O00184,C12898,P09,2,670,UPI,S04
B00185,O00185,C8350,P37,2,520,Cash,S02
B00186,O00186,C5747,P19,2,590,UPI,S07
B00187,O00187,C17738,P05,2,560,Cash,S03
B00188,O00188,C14599,P28,1,299,Card,S01
B00189,O00189,C1759,P31,2,660,Cash,S06
B00190,O00190,C11094,P31,2,660,UPI,S08
