order_id,order_date,order_time,customer_id,store_id,order_source,platform
O00001,2025-02-22,22:45:00,C15600,S04,Store,In Store
O00002,2025-03-30,17:04:00,C13417,S08,Store,In Store
O00003,2025-03-16,11:10:00,C16527,S05,Online,Zomato
O00004,2025-03-04,15:51:00,C3661,S04,Store,In Store
O00005,2025-01-29,19:24:00,C7273,S03,Store,In Store
O00006,2025-03-19,08:05:00,C19574,S02,Store,In Store
O00007,2025-01-06,11:00:00,C13493,S08,Online,Swiggy
O00008,2025-03-26,13:20:00,C5611,S01,Online,Starbucks App
O00009,2025-01-26,14:46:00,C11528,S01,Online,Zomato
O00010,2025-02-03,12:49:00,C14720,S02,Online,Zomato
O00011,2025-01-08,16:20:00,C18766,S05,Online,Zomato
O00012,2025-03-04,08:27:00,C16011,S05,Online,Starbucks App
O00013,2025-01-28,21:34:00,C7147,S03,Store,In Store
O00014,2025-01-02,17:43:00,C18178,S01,Online,Starbucks App
O00015,2025-03-24,21:55:00,C15340,S07,Online,Starbucks App
O00016,2025-03-05,10:02:00,C6144,S05,Store,In Store
O00017,2025-02-20,07:24:00,C869,S04,Online,Swiggy
O00018,2025-01-04,07:13:00,C12757,S08,Store,In Store
O00019,2025-01-31,17:44:00,C10863,S01,Store,In Store
O00020,2025-01-28,08:57:00,C1115,S01,Online,Zomato
O00021,2025-02-18,11:08:00,C5710,S02,Store,In Store
O00022,2025-02-20,22:07:00,C14715,S04,Online,Swiggy
O00023,2025-01-07,15:26:00,C9618,S06,Store,In Store
O00024,2025-03-25,12:16:00,C14663,S07,Store,In Store
O00025,2025-02-22,16:10:00,C1429,S04,Store,In Store
O00026,2025-03-23,13:55:00,C11730,S02,Online,Swiggy
O00027,2025-01-09,13:31:00,C12155,S04,Store,In Store
O00028,2025-03-29,21:29:00,C13623,S02,Store,In Store
O00029,2025-01-13,22:01:00,C11450,S07,Online,Zomato
O00030,2025-02-19,14:21:00,C17194,S07,Store,In Store
O00031,2025-03-14,09:43:00,C16197,S04,Store,In Store
O00032,2025-02-27,20:02:00,C8583,S02,Online,Swiggy
O00033,2025-03-08,09:22:00,C13848,S07,Online,Swiggy
O00034,2025-01-14,20:26:00,C10738,S04,Store,In Store
O00035,2025-01-21,15:25:00,C8145,S04,Store,In Store
O00036,2025-03-26,07:47:00,C6311,S02,Online,Starbucks App
O00037,2025-02-11,07:39:00,C13446,S05,Online,Swiggy
O00038,2025-02-09,19:35:00,C14903,S01,Store,In Store
O00039,2025-03-07,16:31:00,C8257,S05,Store,In Store
O00040,2025-03-06,21:46:00,C17190,S05,Online,Zomato
O00041,2025-02-06,18:14:00,C16561,S02,Store,In Store
O00042,2025-01-25,13:32:00,C26,S04,Store,In Store
O00043,2025-02-28,20:31:00,C10054,S04,Store,In Store
O00044,2025-03-17,13:58:00,C15676,S01,Online,Swiggy
O00045,2025-02-07,15:15:00,C15620,S04,Online,Zomato
O00046,2025-03-07,18:45:00,C19100,S03,Store,In Store
O00047,2025-02-21,21:56:00,C2899,S02,Store,In Store
O00048,2025-01-27,20:43:00,C11385,S07,Online,Swiggy
O00049,2025-01-23,09:19:00,C13899,S03,Store,In Store
O00050,2025-02-23,17:19:00,C7381,S04,Online,Starbucks App
O00051,2025-03-09,13:52:00,C817,S07,Online,Swiggy
O00052,2025-03-01,18:44:00,C7763,S08,Store,In Store
O00053,2025-03-12,07:24:00,C6780,S03,Online,Swiggy
O00054,2025-03-27,19:28:00,C1829,S08,Online,Starbucks App
O00055,2025-02-15,20:39:00,C4144,S01,Store,In Store
O00056,2025-03-25,22:11:00,C333,S01,Store,In Store
O00057,2025-03-09,22:05:00,C13042,S08,Online,Swiggy
O00058,2025-03-08,13:48:00,C17126,S06,Store,In Store
O00059,2025-01-23,16:47:00,C7162,S03,Store,In Store
O00060,2025-01-22,20:57:00,C5304,S05,Store,In Store
O00061,2025-03-01,13:28:00,C6115,S01,Store,In Store
O00062,2025-02-02,15:27:00,C9634,S06,Store,In Store
O00063,2025-01-24,15:43:00,C14905,S02,Store,In Store
O00064,2025-02-23,16:42:00,C2441,S02,Store,In Store
O00065,2025-02-12,20:50:00,C17137,S02,Store,In Store
O00066,2025-03-21,09:28:00,C12666,S07,Online,Starbucks App
O00067,2025-01-27,17:32:00,C16851,S03,Online,Swiggy
O00068,2025-01-18,12:25:00,C8669,S04,Store,In Store
O00069,2025-02-17,15:48:00,C4738,S08,Online,Swiggy
O00070,2025-02-04,08:07:00,C11476,S02,Store,In Store
O00071,2025-01-11,12:06:00,C16635,S07,Store,In Store
O00072,2025-03-27,19:45:00,C9064,S04,Online,Swiggy
O00073,2025-03-22,22:28:00,C6858,S06,Online,Zomato
O00074,2025-02-18,08:22:00,C4815,S02,Store,In Store
O00075,2025-01-20,21:50:00,C16506,S03,Store,In Store
O00076,2025-02-10,08:13:00,C2455,S07,Online,Swiggy
O00077,2025-03-20,21:31:00,C17275,S05,Store,In Store
O00078,2025-02-03,19:25:00,C10258,S07,Store,In Store
O00079,2025-02-13,21:03:00,C11525,S05,Store,In Store
O00080,2025-01-25,10:32:00,C3106,S05,Online,Zomato
O00081,2025-02-23,16:11:00,C2297,S01,Store,In Store
O00082,2025-01-27,20:07:00,C10635,S03,Online,Swiggy
O00083,2025-03-18,09:15:00,C15008,S04,Online,Swiggy
O00084,2025-03-05,14:15:00,C18964,S01,Store,In Store
O00085,2025-03-15,15:12:00,C6334,S08,Store,In Store
O00086,2025-01-18,08:42:00,C6600,S01,Online,Starbucks App
O00087,2025-03-19,19:03:00,C6051,S01,Store,In Store
O00088,2025-02-09,20:09:00,C4262,S04,Online,Starbucks App
O00089,2025-02-15,08:39:00,C11474,S06,Online,Zomato
O00090,2025-03-13,09:40:00,C18900,S07,Online,Swiggy
O00091,2025-02-17,21:14:00,C8490,S02,Store,In Store
O00092,2025-03-01,20:53:00,C15798,S01,Store,In Store
O00093,2025-01-12,16:03:00,C15568,S06,Online,Starbucks App
O00094,2025-03-04,18:58:00,C13005,S05,Store,In Store
O00095,2025-02-09,16:59:00,C16901,S03,Store,In Store
O00096,2025-03-09,11:11:00,C5927,S04,Online,Swiggy
O00097,2025-03-08,11:47:00,C9900,S02,Online,Starbucks App
O00098,2025-03-04,17:05:00,C212,S05,Store,In Store
O00099,2025-03-20,12:14:00,C398,S01,Store,In Store
O00100,2025-02-27,15:00:00,C14330,S06,Online,Zomato
O00101,2025-01-22,18:43:00,C1234,S01,Online,Starbucks App
O00102,2025-02-06,07:48:00,C1940,S06,Store,In Store
O00103,2025-03-19,11:27:00,C11934,S04,Online,Zomato
O00104,2025-01-23,19:33:00,C12277,S04,Store,In Store
O00105,2025-02-04,16:59:00,C985,S07,Online,Swiggy
O00106,2025-02-27,16:41:00,C10005,S03,Store,In Store
O00107,2025-03-25,18:23:00,C6288,S01,Online,Starbucks App
O00108,2025-03-03,13:00:00,C8837,S05,Online,Starbucks App
O00109,2025-03-05,11:48:00,C3212,S06,Store,In Store
O00110,2025-03-17,20:13:00,C5625,S07,Store,In Store
O00111,2025-03-30,10:15:00,C6181,S08,Online,Starbucks App
O00112,2025-03-06,13:38:00,C8789,S03,Store,In Store
O00113,2025-03-24,21:38:00,C17412,S02,Online,Swiggy
O00114,2025-01-19,18:18:00,C11667,S03,Store,In Store
O00115,2025-03-27,16:28:00,C14590,S06,Store,In Store
O00116,2025-01-18,07:19:00,C19871,S02,Online,Swiggy
O00117,2025-01-03,22:26:00,C11697,S03,Online,Zomato
O00118,2025-01-05,19:17:00,C10178,S06,Store,In Store
O00119,2025-01-05,18:20:00,C15827,S01,Store,In Store
O00120,2025-01-06,13:17:00,C6810,S03,Store,In Store
O00121,2025-01-13,09:38:00,C6392,S06,Store,In Store
O00122,2025-02-18,13:07:00,C12067,S03,Online,Zomato
O00123,2025-02-28,13:39:00,C16266,S03,Online,Zomato
O00124,2025-03-28,07:31:00,C8140,S05,Online,Starbucks App
O00125,2025-02-21,14:10:00,C6164,S05,Store,In Store
O00126,2025-01-26,19:59:00,C283,S03,Store,In Store
O00127,2025-03-18,11:20:00,C1345,S03,Store,In Store
O00128,2025-03-18,20:24:00,C9207,S04,Store,In Store
O00129,2025-03-06,14:26:00,C14540,S05,Store,In Store
O00130,2025-01-10,14:44:00,C12304,S05,Online,Swiggy
O00131,2025-03-17,12:19:00,C18161,S03,Store,In Store
O00132,2025-03-13,13:10:00,C8925,S07,Store,In Store
O00133,2025-02-16,18:50:00,C6277,S08,Online,Swiggy
O00134,2025-01-19,19:17:00,C18346,S08,Store,In Store
O00135,2025-01-28,15:15:00,C16649,S05,Store,In Store
O00136,2025-03-24,19:54:00,C5729,S08,Store,In Store
O00137,2025-03-04,22:15:00,C10064,S06,Store,In Store
O00138,2025-03-05,16:05:00,C4631,S02,Store,In Store
O00139,2025-01-19,09:49:00,C11480,S04,Store,In Store
O00140,2025-03-29,10:08:00,C19211,S08,Store,In Store
O00141,2025-01-02,13:44:00,C12093,S04,Store,In Store
O00142,2025-01-06,18:38:00,C19412,S01,Store,In Store
O00143,2025-03-31,10:40:00,C7563,S03,Store,In Store
O00144,2025-02-08,20:59:00,C4109,S06,Online,Zomato
O00145,2025-02-14,14:32:00,C7132,S08,Store,In Store
O00146,2025-01-25,12:50:00,C4331,S03,Online,Zomato
O00147,2025-02-24,19:38:00,C17342,S01,Online,Swiggy
O00148,2025-01-05,13:38:00,C3171,S06,Store,In Store
O00149,2025-02-25,22:44:00,C8409,S06,Store,In Store
O00150,2025-01-08,20:25:00,C15320,S07,Online,Zomato
O00151,2025-02-08,16:36:00,C11735,S03,Store,In Store
O00152,2025-03-15,12:27:00,C17766,S04,Store,In Store
O00153,2025-03-10,15:52:00,C13963,S03,Online,Swiggy
O00154,2025-02-05,21:24:00,C949,S01,Online,Swiggy
O00155,2025-01-15,16:49:00,C18717,S04,Store,In Store
O00156,2025-03-15,15:49:00,C19736,S01,Store,In Store
O00157,2025-01-02,20:31:00,C11030,S01,Store,In Store
O00158,2025-02-05,12:40:00,C19703,S03,Store,In Store
O00159,2025-02-21,08:11:00,C4787,S08,Store,In Store
O00160,2025-03-16,14:50:00,C16187,S07,Store,In Store
O00161,2025-03-31,19:23:00,C4668,S04,Store,In Store
O00162,2025-03-02,13:54:00,C12917,S05,Online,Zomato
O00163,2025-02-15,12:58:00,C548,S05,Store,In Store
O00164,2025-01-03,22:00:00,C801,S07,Store,In Store
O00165,2025-01-21,17:11:00,C19011,S01,Online,Starbucks App
O00166,2025-03-01,16:27:00,C14429,S08,Online,Zomato
O00167,2025-01-31,21:22:00,C6154,S08,Store,In Store
O00168,2025-01-20,18:44:00,C17542,S02,Online,Zomato
O00169,2025-02-08,18:27:00,C11968,S08,Store,In Store
O00170,2025-03-08,21:10:00,C19310,S03,Online,Swiggy
O00171,2025-01-12,21:41:00,C12669,S06,Store,In Store
O00172,2025-03-06,16:10:00,C17783,S06,Store,In Store
O00173,2025-02-10,12:47:00,C440,S03,Store,In Store
